signal_ts_et,date,time_et,symbol,side,score,underlying_close,fire_rank,c_trend,c_vwap_evt,c_or_evt,c_squeeze,c_rsi,c_vol,engine,conflict_bar
2026-06-08T10:15:00-04:00,2026-06-08,10:15,IWM,P,50,284.98,1,True,False,True,False,True,False,scout,True
2026-06-08T10:30:00-04:00,2026-06-08,10:30,QQQ,P,50,717.56,1,True,False,True,False,True,False,scout,False
2026-06-08T10:30:00-04:00,2026-06-08,10:30,SPY,P,50,742.48,1,True,False,True,False,True,False,scout,True
2026-06-08T11:00:00-04:00,2026-06-08,11:00,SPY,C,45,744.99,2,False,False,True,True,True,False,scout,False
2026-06-08T11:30:00-04:00,2026-06-08,11:30,SPY,P,50,743.23,3,True,False,True,False,True,False,scout,False
2026-06-08T12:00:00-04:00,2026-06-08,12:00,SPY,P,70,742.77,5,True,True,True,False,True,False,scout,True
2026-06-08T13:00:00-04:00,2026-06-08,13:00,IWM,P,45,285.12,3,False,True,True,False,True,False,scout,False
2026-06-08T13:15:00-04:00,2026-06-08,13:15,QQQ,P,45,717.89,3,False,True,True,False,True,False,scout,False
2026-06-08T14:00:00-04:00,2026-06-08,14:00,AAPL,P,30,308.45,1,,,,,,,prime,False
2026-06-08T14:15:00-04:00,2026-06-08,14:15,IWM,P,50,284.78,4,True,False,True,False,True,False,scout,False
2026-06-09T10:00:00-04:00,2026-06-09,10:00,META,C,50,596.02,1,,,,,,,prime,False
2026-06-09T10:15:00-04:00,2026-06-09,10:15,IWM,C,55,288.44,1,True,False,False,True,False,True,scout,False
2026-06-09T10:30:00-04:00,2026-06-09,10:30,QQQ,P,65,715.95,1,True,False,False,True,True,True,scout,False
2026-06-09T10:30:00-04:00,2026-06-09,10:30,SPY,P,45,741.21,1,True,False,False,False,True,True,scout,False
2026-06-09T11:00:00-04:00,2026-06-09,11:00,IWM,C,45,285.93,3,True,False,False,False,True,True,scout,False
2026-06-09T11:00:00-04:00,2026-06-09,11:00,QQQ,P,55,710.94,3,True,False,False,True,False,True,scout,False
2026-06-09T11:00:00-04:00,2026-06-09,11:00,SPY,P,55,737.75,3,True,False,False,True,False,True,scout,False
2026-06-09T11:30:00-04:00,2026-06-09,11:30,QQQ,P,55,701.73,5,True,False,False,True,False,True,scout,False
2026-06-09T11:30:00-04:00,2026-06-09,11:30,SPY,P,45,731.0,5,True,False,False,True,False,False,scout,False
2026-06-09T11:45:00-04:00,2026-06-09,11:45,IWM,P,45,282.71,1,True,False,False,True,False,False,scout,False
2026-06-09T12:15:00-04:00,2026-06-09,12:15,IWM,P,45,280.51,3,True,False,False,True,False,False,scout,False
2026-06-09T12:15:00-04:00,2026-06-09,12:15,NVDA,P,60,201.82,1,,,,,,,prime,False
2026-06-09T12:45:00-04:00,2026-06-09,12:45,IWM,P,55,278.68,5,True,False,False,True,False,True,scout,False
2026-06-09T12:45:00-04:00,2026-06-09,12:45,MSFT,P,65,399.42,1,,,,,,,prime,False
2026-06-10T10:00:00-04:00,2026-06-10,10:00,AMZN,P,75,240.63,1,,,,,,,prime,False
2026-06-10T10:15:00-04:00,2026-06-10,10:15,IWM,C,45,288.23,1,True,False,False,True,False,False,scout,False
