signal_ts_et,symbol,side,score
2026-06-15 10:45:00-04:00,META,C,70
2026-06-15 11:00:00-04:00,META,C,70
2026-06-16 09:45:00-04:00,META,C,70
2026-06-16 10:45:00-04:00,META,C,70
2026-06-16 11:00:00-04:00,META,C,70
2026-06-16 12:15:00-04:00,META,C,70
2026-06-29 11:15:00-04:00,META,C,70
2026-06-29 12:45:00-04:00,META,C,70
2026-06-29 13:30:00-04:00,META,C,70
2026-07-01 10:00:00-04:00,META,C,70
2026-07-01 10:30:00-04:00,META,C,70
2026-07-01 11:00:00-04:00,META,C,70
2026-07-01 13:45:00-04:00,META,C,70
2026-07-06 13:15:00-04:00,META,C,70
2026-07-06 14:00:00-04:00,META,C,70
2026-07-07 11:15:00-04:00,META,C,70
2026-07-07 12:30:00-04:00,META,C,70
2026-07-07 13:45:00-04:00,META,C,70
2026-07-07 14:00:00-04:00,META,C,70
2026-07-09 12:15:00-04:00,META,C,70
2026-07-09 14:00:00-04:00,META,C,70
2026-07-10 11:15:00-04:00,META,C,70
2026-07-10 13:45:00-04:00,META,C,70
2026-07-10 14:00:00-04:00,META,C,70
2026-07-15 10:00:00-04:00,META,C,70
2026-07-15 10:30:00-04:00,META,C,70
2026-07-15 11:00:00-04:00,META,C,70
2026-07-15 11:45:00-04:00,META,C,70
2026-07-16 10:15:00-04:00,META,C,70
2026-07-16 10:30:00-04:00,META,C,70
2026-06-12 10:00:00-04:00,NVDA,C,70
2026-06-12 11:00:00-04:00,NVDA,C,70
2026-06-12 11:15:00-04:00,NVDA,C,70
2026-06-12 12:45:00-04:00,NVDA,C,70
2026-06-15 10:15:00-04:00,NVDA,C,70
2026-06-15 10:45:00-04:00,NVDA,C,70
2026-06-15 11:00:00-04:00,NVDA,C,70
2026-06-15 11:30:00-04:00,NVDA,C,70
2026-06-18 12:00:00-04:00,NVDA,C,70
2026-06-18 12:15:00-04:00,NVDA,C,70
2026-06-18 12:30:00-04:00,NVDA,C,70
2026-06-22 11:30:00-04:00,NVDA,C,70
2026-06-30 11:00:00-04:00,NVDA,C,70
2026-06-30 13:30:00-04:00,NVDA,C,70
2026-07-01 13:15:00-04:00,NVDA,C,70
2026-07-01 13:30:00-04:00,NVDA,C,70
2026-07-02 09:45:00-04:00,NVDA,C,70
2026-07-02 10:00:00-04:00,NVDA,C,70
2026-07-06 14:00:00-04:00,NVDA,C,70
2026-07-08 10:45:00-04:00,NVDA,C,70
2026-07-08 12:00:00-04:00,NVDA,C,70
2026-07-08 12:15:00-04:00,NVDA,C,70
2026-07-08 12:45:00-04:00,NVDA,C,70
2026-07-09 13:00:00-04:00,NVDA,C,70
2026-07-09 13:45:00-04:00,NVDA,C,70
2026-07-10 09:45:00-04:00,NVDA,C,70
2026-07-10 10:00:00-04:00,NVDA,C,70
2026-07-10 11:15:00-04:00,NVDA,C,70
2026-07-10 12:15:00-04:00,NVDA,C,70
2026-07-14 12:15:00-04:00,NVDA,C,70
2026-07-14 12:30:00-04:00,NVDA,C,70
2026-07-14 12:45:00-04:00,NVDA,C,70
2026-07-14 13:00:00-04:00,NVDA,C,70
2026-06-10 10:00:00-04:00,GOOGL,C,70
2026-06-12 11:15:00-04:00,GOOGL,C,70
2026-06-12 13:00:00-04:00,GOOGL,C,70
2026-06-15 10:45:00-04:00,GOOGL,C,70
2026-06-15 11:15:00-04:00,GOOGL,C,70
