signal_ts_et,date,time_et,symbol,side,score,underlying_close,fire_rank,engine
2026-05-27T10:45:00-04:00,2026-05-27,10:45,TSLA,C,60,443.79,1,prime
2026-05-27T11:00:00-04:00,2026-05-27,11:00,AAPL,C,70,313.06,1,prime
2026-05-27T14:15:00-04:00,2026-05-27,14:15,META,C,75,618.29,1,prime
2026-05-27T14:45:00-04:00,2026-05-27,14:45,META,C,60,629.16,1,prime
2026-05-28T10:00:00-04:00,2026-05-28,10:00,TSLA,C,65,440.83,1,prime
2026-05-28T10:15:00-04:00,2026-05-28,10:15,MSFT,C,55,426.46,1,prime
2026-05-29T10:00:00-04:00,2026-05-29,10:00,IWM,P,55,290.55,1,prime
2026-05-29T10:00:00-04:00,2026-05-29,10:00,NVDA,C,60,217.1,1,prime
2026-05-29T10:15:00-04:00,2026-05-29,10:15,QQQ,C,65,739.75,1,prime
2026-05-29T10:15:00-04:00,2026-05-29,10:15,MSFT,C,55,440.14,1,prime
2026-05-29T10:15:00-04:00,2026-05-29,10:15,GOOGL,P,55,382.8,1,prime
2026-05-29T10:15:00-04:00,2026-05-29,10:15,AVGO,C,55,443.29,1,prime
2026-05-29T10:30:00-04:00,2026-05-29,10:30,SPY,C,55,756.6,1,prime
2026-05-29T10:45:00-04:00,2026-05-29,10:45,QQQ,P,70,735.81,1,prime
2026-05-29T10:45:00-04:00,2026-05-29,10:45,TSLA,P,55,428.95,1,prime
2026-05-29T11:00:00-04:00,2026-05-29,11:00,SPY,P,55,756.04,1,prime
2026-05-29T12:30:00-04:00,2026-05-29,12:30,TSLA,C,45,438.25,1,prime
2026-06-01T10:00:00-04:00,2026-06-01,10:00,IWM,P,65,286.92,1,prime
2026-06-01T10:00:00-04:00,2026-06-01,10:00,AMZN,P,55,264.46,1,prime
2026-06-01T10:00:00-04:00,2026-06-01,10:00,NVDA,C,90,219.15,1,prime
2026-06-01T10:00:00-04:00,2026-06-01,10:00,AVGO,C,55,448.07,1,prime
2026-06-01T10:30:00-04:00,2026-06-01,10:30,META,P,60,610.21,1,prime
2026-06-01T10:45:00-04:00,2026-06-01,10:45,AMZN,P,45,263.59,1,prime
2026-06-01T11:00:00-04:00,2026-06-01,11:00,TSLA,P,60,419.45,1,prime
2026-06-01T13:45:00-04:00,2026-06-01,13:45,IWM,C,55,290.08,1,prime
2026-06-02T10:00:00-04:00,2026-06-02,10:00,QQQ,C,65,743.52,1,prime
2026-06-02T10:15:00-04:00,2026-06-02,10:15,NVDA,C,55,229.76,1,prime
2026-06-02T10:30:00-04:00,2026-06-02,10:30,TSLA,C,55,419.73,1,prime
2026-06-03T10:00:00-04:00,2026-06-03,10:00,IWM,P,40,287.64,1,prime
2026-06-03T10:00:00-04:00,2026-06-03,10:00,AAPL,P,55,314.89,1,prime
2026-06-03T10:00:00-04:00,2026-06-03,10:00,AMZN,P,55,255.39,1,prime
2026-06-03T10:00:00-04:00,2026-06-03,10:00,MSFT,P,60,431.4,1,prime
2026-06-03T10:00:00-04:00,2026-06-03,10:00,META,C,45,612.1,1,prime
2026-06-03T10:00:00-04:00,2026-06-03,10:00,GOOGL,C,55,364.18,1,prime
2026-06-03T10:15:00-04:00,2026-06-03,10:15,NVDA,P,55,216.31,1,prime
2026-06-03T10:30:00-04:00,2026-06-03,10:30,AMZN,P,55,252.73,1,prime
2026-06-03T10:45:00-04:00,2026-06-03,10:45,MSFT,P,55,428.24,1,prime
2026-06-03T11:00:00-04:00,2026-06-03,11:00,AMZN,P,55,251.77,1,prime
2026-06-03T11:45:00-04:00,2026-06-03,11:45,AMZN,P,45,250.12,1,prime
2026-06-04T10:00:00-04:00,2026-06-04,10:00,META,C,60,638.8,1,prime
2026-06-04T10:00:00-04:00,2026-06-04,10:00,NVDA,P,70,212.34,1,prime
2026-06-04T11:15:00-04:00,2026-06-04,11:15,SPY,C,55,755.57,1,prime
2026-06-05T10:00:00-04:00,2026-06-05,10:00,SPY,P,45,748.73,1,prime
2026-06-05T10:00:00-04:00,2026-06-05,10:00,QQQ,P,40,723.7,1,prime
2026-06-05T10:00:00-04:00,2026-06-05,10:00,IWM,P,10,285.97,1,prime
2026-06-05T10:00:00-04:00,2026-06-05,10:00,AMZN,P,70,252.9,1,prime
2026-06-05T10:00:00-04:00,2026-06-05,10:00,META,P,50,619.8,1,prime
2026-06-05T10:00:00-04:00,2026-06-05,10:00,GOOGL,P,65,369.67,1,prime
2026-06-05T10:00:00-04:00,2026-06-05,10:00,TSLA,P,55,409.65,1,prime
2026-06-05T10:15:00-04:00,2026-06-05,10:15,NVDA,P,55,212.38,1,prime
2026-06-05T11:15:00-04:00,2026-06-05,11:15,TSLA,P,60,401.9,1,prime
2026-06-05T11:30:00-04:00,2026-06-05,11:30,MSFT,P,55,422.25,1,prime
2026-06-05T12:45:00-04:00,2026-06-05,12:45,QQQ,P,35,715.39,1,prime
2026-06-08T14:00:00-04:00,2026-06-08,14:00,AAPL,P,30,308.45,1,prime
2026-06-09T10:00:00-04:00,2026-06-09,10:00,IWM,C,10,290.44,1,prime
2026-06-09T10:00:00-04:00,2026-06-09,10:00,META,C,50,596.02,1,prime
2026-06-09T10:30:00-04:00,2026-06-09,10:30,SPY,P,45,741.21,1,prime
2026-06-09T11:00:00-04:00,2026-06-09,11:00,SPY,P,75,737.75,1,prime
2026-06-09T11:00:00-04:00,2026-06-09,11:00,IWM,C,35,285.93,1,prime
2026-06-09T11:30:00-04:00,2026-06-09,11:30,QQQ,P,35,701.73,1,prime
2026-06-09T11:45:00-04:00,2026-06-09,11:45,SPY,P,35,731.86,1,prime
2026-06-09T12:15:00-04:00,2026-06-09,12:15,QQQ,P,40,695.92,1,prime
2026-06-09T12:15:00-04:00,2026-06-09,12:15,NVDA,P,60,201.82,1,prime
2026-06-09T12:30:00-04:00,2026-06-09,12:30,SPY,P,35,727.36,1,prime
2026-06-09T12:45:00-04:00,2026-06-09,12:45,IWM,P,35,278.68,1,prime
2026-06-09T12:45:00-04:00,2026-06-09,12:45,MSFT,P,65,399.42,1,prime
2026-06-10T10:00:00-04:00,2026-06-10,10:00,AMZN,P,75,240.63,1,prime
2026-06-10T11:15:00-04:00,2026-06-10,11:15,META,P,60,576.42,1,prime
2026-06-10T14:00:00-04:00,2026-06-10,14:00,AAPL,C,45,294.02,1,prime
2026-06-10T14:45:00-04:00,2026-06-10,14:45,META,P,80,573.54,1,prime
2026-06-11T10:00:00-04:00,2026-06-11,10:00,SPY,C,55,729.73,1,prime
2026-06-11T10:00:00-04:00,2026-06-11,10:00,AMZN,C,65,237.33,1,prime
2026-06-11T10:00:00-04:00,2026-06-11,10:00,MSFT,P,55,391.51,1,prime
2026-06-11T10:00:00-04:00,2026-06-11,10:00,META,P,55,563.31,1,prime
2026-06-11T10:00:00-04:00,2026-06-11,10:00,GOOGL,P,60,348.13,1,prime
2026-06-11T13:15:00-04:00,2026-06-11,13:15,MSFT,P,55,385.13,1,prime
2026-06-12T10:00:00-04:00,2026-06-12,10:00,AMZN,P,65,234.18,1,prime
2026-06-15T10:00:00-04:00,2026-06-15,10:00,GOOGL,C,70,369.22,1,prime
2026-06-16T10:00:00-04:00,2026-06-16,10:00,META,C,50,602.53,1,prime
2026-06-16T10:00:00-04:00,2026-06-16,10:00,NVDA,P,45,208.71,1,prime
2026-06-16T10:00:00-04:00,2026-06-16,10:00,GOOGL,P,70,368.12,1,prime
2026-06-16T10:00:00-04:00,2026-06-16,10:00,TSLA,C,55,409.77,1,prime
2026-06-16T10:15:00-04:00,2026-06-16,10:15,GOOGL,C,60,370.25,1,prime
2026-06-16T10:15:00-04:00,2026-06-16,10:15,AVGO,P,55,384.92,1,prime
2026-06-16T10:30:00-04:00,2026-06-16,10:30,QQQ,P,70,739.11,1,prime
2026-06-16T10:45:00-04:00,2026-06-16,10:45,GOOGL,C,65,373.08,1,prime
2026-06-16T12:00:00-04:00,2026-06-16,12:00,SPY,P,40,752.75,1,prime
2026-06-17T10:00:00-04:00,2026-06-17,10:00,IWM,C,50,293.81,1,prime
2026-06-17T10:00:00-04:00,2026-06-17,10:00,MSFT,P,70,389.8,1,prime
2026-06-17T10:00:00-04:00,2026-06-17,10:00,NVDA,P,80,207.19,1,prime
2026-06-17T10:00:00-04:00,2026-06-17,10:00,TSLA,P,70,398.55,1,prime
2026-06-17T10:45:00-04:00,2026-06-17,10:45,IWM,P,50,293.55,1,prime
2026-06-17T10:45:00-04:00,2026-06-17,10:45,AMZN,P,65,241.26,1,prime
2026-06-17T11:00:00-04:00,2026-06-17,11:00,TSLA,P,65,399.59,1,prime
2026-06-17T12:15:00-04:00,2026-06-17,12:15,MSFT,P,45,385.72,1,prime
2026-06-17T14:15:00-04:00,2026-06-17,14:15,SPY,P,95,746.61,1,prime
2026-06-17T14:15:00-04:00,2026-06-17,14:15,QQQ,P,95,729.12,1,prime
2026-06-17T14:15:00-04:00,2026-06-17,14:15,NVDA,P,60,206.16,1,prime
2026-06-17T14:45:00-04:00,2026-06-17,14:45,SPY,P,55,749.93,1,prime
2026-06-17T14:45:00-04:00,2026-06-17,14:45,QQQ,C,75,735.0,1,prime
2026-06-18T10:00:00-04:00,2026-06-18,10:00,SPY,P,35,744.75,1,prime
2026-06-18T10:00:00-04:00,2026-06-18,10:00,AAPL,C,55,298.27,1,prime
2026-06-18T11:15:00-04:00,2026-06-18,11:15,AMZN,C,50,241.42,1,prime
2026-06-18T11:45:00-04:00,2026-06-18,11:45,SPY,P,40,744.84,1,prime
2026-06-18T11:45:00-04:00,2026-06-18,11:45,QQQ,C,25,735.89,1,prime
2026-06-22T10:15:00-04:00,2026-06-22,10:15,AAPL,C,65,301.85,1,prime
2026-06-22T10:15:00-04:00,2026-06-22,10:15,AMZN,P,60,237.69,1,prime
2026-06-22T10:30:00-04:00,2026-06-22,10:30,TSLA,C,55,409.8,1,prime
2026-06-23T10:00:00-04:00,2026-06-23,10:00,QQQ,P,35,720.69,1,prime
2026-06-23T10:00:00-04:00,2026-06-23,10:00,IWM,P,40,295.95,1,prime
2026-06-24T10:00:00-04:00,2026-06-24,10:00,NVDA,P,55,200.25,1,prime
2026-06-24T10:00:00-04:00,2026-06-24,10:00,GOOGL,C,65,350.3,1,prime
2026-06-24T14:45:00-04:00,2026-06-24,14:45,GOOGL,P,70,343.84,1,prime
2026-06-25T10:00:00-04:00,2026-06-25,10:00,SPY,P,100,729.84,1,prime
2026-06-25T10:00:00-04:00,2026-06-25,10:00,QQQ,P,50,705.76,1,prime
2026-06-25T10:00:00-04:00,2026-06-25,10:00,META,P,55,547.54,1,prime
2026-06-25T10:00:00-04:00,2026-06-25,10:00,AVGO,P,70,373.16,1,prime
2026-06-25T10:00:00-04:00,2026-06-25,10:00,TSLA,P,45,371.78,1,prime
2026-06-25T10:15:00-04:00,2026-06-25,10:15,SPY,C,70,734.12,1,prime
2026-06-26T10:15:00-04:00,2026-06-26,10:15,TSLA,C,70,377.1,1,prime
2026-06-29T10:00:00-04:00,2026-06-29,10:00,TSLA,C,50,391.8,1,prime
2026-06-30T10:00:00-04:00,2026-06-30,10:00,META,P,55,556.3,1,prime
2026-06-30T10:15:00-04:00,2026-06-30,10:15,QQQ,C,65,731.6,1,prime
2026-06-30T10:15:00-04:00,2026-06-30,10:15,NVDA,C,65,196.97,1,prime
2026-07-01T10:15:00-04:00,2026-07-01,10:15,TSLA,C,45,426.3,1,prime
2026-07-02T10:00:00-04:00,2026-07-02,10:00,AAPL,C,65,302.81,1,prime
2026-07-02T10:30:00-04:00,2026-07-02,10:30,QQQ,P,100,722.17,1,prime
2026-07-02T10:30:00-04:00,2026-07-02,10:30,MSFT,C,65,388.65,1,prime
2026-07-02T10:45:00-04:00,2026-07-02,10:45,AMZN,C,95,245.14,1,prime
2026-07-02T13:45:00-04:00,2026-07-02,13:45,AMZN,P,65,243.72,1,prime
2026-07-06T10:00:00-04:00,2026-07-06,10:00,IWM,C,40,299.56,1,prime
2026-07-06T10:30:00-04:00,2026-07-06,10:30,SPY,C,75,749.94,1,prime
2026-07-06T14:30:00-04:00,2026-07-06,14:30,META,C,65,599.92,1,prime
2026-07-07T10:00:00-04:00,2026-07-07,10:00,QQQ,P,65,711.17,1,prime
2026-07-07T10:00:00-04:00,2026-07-07,10:00,AMZN,C,95,247.91,1,prime
2026-07-07T10:00:00-04:00,2026-07-07,10:00,MSFT,C,65,393.45,1,prime
2026-07-07T10:00:00-04:00,2026-07-07,10:00,NVDA,P,65,192.64,1,prime
2026-07-07T10:00:00-04:00,2026-07-07,10:00,GOOGL,C,65,371.23,1,prime
2026-07-07T10:30:00-04:00,2026-07-07,10:30,AMZN,C,65,245.12,1,prime
2026-07-07T10:30:00-04:00,2026-07-07,10:30,MSFT,C,70,393.92,1,prime
2026-07-07T10:30:00-04:00,2026-07-07,10:30,META,C,55,611.09,1,prime
2026-07-07T14:15:00-04:00,2026-07-07,14:15,META,C,85,618.53,1,prime
2026-07-08T10:00:00-04:00,2026-07-08,10:00,NVDA,C,65,197.62,1,prime
2026-07-08T10:00:00-04:00,2026-07-08,10:00,TSLA,P,65,395.88,1,prime
2026-07-08T10:30:00-04:00,2026-07-08,10:30,IWM,P,75,293.39,1,prime
2026-07-08T10:30:00-04:00,2026-07-08,10:30,TSLA,P,55,395.34,1,prime
2026-07-08T11:00:00-04:00,2026-07-08,11:00,NVDA,C,95,198.78,1,prime
2026-07-08T11:30:00-04:00,2026-07-08,11:30,IWM,P,65,291.3,1,prime
2026-07-08T13:00:00-04:00,2026-07-08,13:00,MSFT,P,55,382.08,1,prime
2026-07-08T13:00:00-04:00,2026-07-08,13:00,GOOGL,P,55,361.18,1,prime
2026-07-09T10:00:00-04:00,2026-07-09,10:00,SPY,C,65,748.67,1,prime
2026-07-09T10:00:00-04:00,2026-07-09,10:00,QQQ,C,55,722.17,1,prime
2026-07-09T10:00:00-04:00,2026-07-09,10:00,IWM,C,30,296.46,1,prime
2026-07-09T10:00:00-04:00,2026-07-09,10:00,TSLA,C,70,395.41,1,prime
2026-07-09T10:15:00-04:00,2026-07-09,10:15,MSFT,P,70,376.22,1,prime
2026-07-09T10:15:00-04:00,2026-07-09,10:15,META,P,45,592.53,1,prime
2026-07-09T10:15:00-04:00,2026-07-09,10:15,GOOGL,P,85,353.27,1,prime
2026-07-09T10:15:00-04:00,2026-07-09,10:15,TSLA,P,75,393.98,1,prime
2026-07-09T10:30:00-04:00,2026-07-09,10:30,SPY,C,40,747.88,1,prime
2026-07-09T10:30:00-04:00,2026-07-09,10:30,QQQ,C,45,718.77,1,prime
2026-07-09T12:00:00-04:00,2026-07-09,12:00,AAPL,C,80,314.77,1,prime
2026-07-09T14:45:00-04:00,2026-07-09,14:45,MSFT,P,55,380.8,1,prime
2026-07-10T10:00:00-04:00,2026-07-10,10:00,IWM,P,50,296.29,1,prime
2026-07-10T10:00:00-04:00,2026-07-10,10:00,NVDA,C,55,207.33,1,prime
2026-07-10T10:30:00-04:00,2026-07-10,10:30,IWM,P,50,295.74,1,prime
2026-07-10T10:45:00-04:00,2026-07-10,10:45,QQQ,P,55,721.99,1,prime
2026-07-13T10:00:00-04:00,2026-07-13,10:00,IWM,P,75,295.38,1,prime
2026-07-13T10:00:00-04:00,2026-07-13,10:00,AAPL,C,35,321.21,1,prime
2026-07-13T10:00:00-04:00,2026-07-13,10:00,MSFT,C,75,387.32,1,prime
2026-07-13T10:30:00-04:00,2026-07-13,10:30,SPY,P,65,753.09,1,prime
2026-07-13T14:45:00-04:00,2026-07-13,14:45,SPY,P,65,749.85,1,prime
2026-07-14T10:00:00-04:00,2026-07-14,10:00,QQQ,C,55,719.39,1,prime
2026-07-14T10:00:00-04:00,2026-07-14,10:00,AMZN,P,50,246.01,1,prime
2026-07-14T10:00:00-04:00,2026-07-14,10:00,AVGO,C,65,391.64,1,prime
2026-07-14T10:45:00-04:00,2026-07-14,10:45,IWM,C,30,294.39,1,prime
2026-07-15T10:00:00-04:00,2026-07-15,10:00,AMZN,C,35,252.36,1,prime
2026-07-15T10:00:00-04:00,2026-07-15,10:00,AVGO,C,100,397.84,1,prime
2026-07-15T10:15:00-04:00,2026-07-15,10:15,AAPL,C,35,324.79,1,prime
2026-07-15T10:30:00-04:00,2026-07-15,10:30,SPY,C,75,754.62,1,prime
2026-07-15T10:30:00-04:00,2026-07-15,10:30,MSFT,C,60,395.04,1,prime
2026-07-15T10:30:00-04:00,2026-07-15,10:30,META,C,80,671.4,1,prime
2026-07-15T11:15:00-04:00,2026-07-15,11:15,META,C,65,681.09,1,prime
2026-07-15T12:30:00-04:00,2026-07-15,12:30,QQQ,P,65,711.84,1,prime
2026-07-16T12:15:00-04:00,2026-07-16,12:15,QQQ,P,65,707.88,1,prime
