trade_id,date,symbol,side,engine,score,c_rsi,c_vwap_evt,c_trend,strike,entry_price,exit_price,exit_reason,exit_min,armed,mfe_pct,mins_to_first_uptick,pnl
2026-07-13_IWM_P_1030,2026-07-13,IWM,P,scout,50,False,False,True,294.0,0.39,0.45,trail,8.0,True,35.9,1.0,6.0
2026-07-13_SPY_C_1030,2026-07-13,SPY,C,scout,60,True,False,True,754.0,0.64,0.28,timestop,16.0,False,-1.6,,-36.0
2026-07-13_IWM_P_1045,2026-07-13,IWM,P,scout,60,False,False,True,294.0,0.64,0.41,timestop,16.0,False,-3.1,,-23.0
2026-07-13_IWM_P_1100,2026-07-13,IWM,P,scout,45,False,False,True,294.0,0.38,0.45,trail,6.0,True,39.5,1.0,7.0
2026-07-13_QQQ_P_1115,2026-07-13,QQQ,P,scout,60,False,False,True,717.0,1.8,1.4,timestop,15.0,False,-0.6,,-40.0
2026-07-13_QQQ_P_1130,2026-07-13,QQQ,P,scout,60,False,False,True,717.0,1.42,1.31,trail,7.0,True,13.4,5.0,-11.0
2026-07-13_QQQ_P_1145,2026-07-13,QQQ,P,scout,60,False,False,True,716.0,1.44,1.46,trail,8.0,True,31.9,2.0,2.0
2026-07-13_QQQ_P_1200,2026-07-13,QQQ,P,scout,80,False,True,True,715.0,1.51,1.64,timestop,16.0,False,8.6,5.0,13.0
2026-07-13_QQQ_P_1215,2026-07-13,QQQ,P,scout,45,False,False,True,715.0,1.4,2.87,trail,23.0,True,145.7,1.0,147.0
2026-07-13_SPY_P_1330,2026-07-13,SPY,P,scout,45,False,False,True,749.0,0.54,0.52,trail,11.0,True,18.5,1.0,-2.0
2026-07-14_AMZN_P_1000,2026-07-14,AMZN,P,prime,50,,,,245.0,3.2,3.5,timestop,15.4,False,9.4,3.5,30.0
2026-07-14_AVGO_C_1000,2026-07-14,AVGO,C,prime,65,,,,392.5,8.6,7.6,timestop,15.5,False,-7.6,,-100.0
2026-07-14_SPY_P_1015,2026-07-14,SPY,P,scout,50,True,False,True,750.0,1.86,1.65,trail,4.0,True,11.8,1.0,-21.0
2026-07-14_QQQ_C_1030,2026-07-14,QQQ,C,scout,45,True,False,False,718.0,1.74,2.45,trail,12.0,True,69.0,2.0,71.0
2026-07-14_SPY_P_1030,2026-07-14,SPY,P,scout,50,True,False,True,750.0,1.21,0.83,timestop,15.0,False,-0.8,,-38.0
2026-07-14_SPY_P_1045,2026-07-14,SPY,P,scout,50,True,False,True,751.0,1.19,1.2,trail,6.0,True,22.7,1.0,1.0
2026-07-14_QQQ_C_1100,2026-07-14,QQQ,C,scout,55,False,True,False,720.0,1.6,2.7,window_end,28.0,True,70.6,4.0,110.0
2026-07-14_SPY_C_1145,2026-07-14,SPY,C,scout,45,True,False,False,752.0,0.91,0.48,timestop,16.0,False,7.7,2.0,-43.0
2026-07-14_IWM_C_1200,2026-07-14,IWM,C,scout,45,True,False,False,295.0,0.31,0.3,trail,16.8,True,22.6,4.0,-1.0
2026-07-14_SPY_P_1200,2026-07-14,SPY,P,scout,45,True,True,False,750.0,1.0,0.97,trail,6.0,True,16.0,1.0,-3.0
2026-07-14_IWM_C_1215,2026-07-14,IWM,C,scout,45,True,False,False,295.0,0.35,0.35,trail,22.0,True,22.9,12.0,0.0
2026-07-14_SPY_C_1245,2026-07-14,SPY,C,scout,45,True,True,False,752.0,0.62,0.64,trail,19.0,True,29.0,7.0,2.0
2026-07-15_AMZN_C_1000,2026-07-15,AMZN,C,prime,35,,,,252.5,3.2,4.15,window_end,27.7,True,39.1,3.0,95.0
2026-07-15_AVGO_C_1000,2026-07-15,AVGO,C,prime,100,,,,400.0,6.6,4.0,timestop,15.0,False,-6.8,,-260.0
2026-07-15_AAPL_C_1015,2026-07-15,AAPL,C,prime,35,,,,325.0,3.55,3.0,timestop,15.9,False,1.4,2.0,-55.0
2026-07-15_IWM_C_1015,2026-07-15,IWM,C,scout,45,False,False,True,297.0,0.32,0.33,timestop,15.0,False,3.1,1.0,1.0
2026-07-15_IWM_C_1030,2026-07-15,IWM,C,scout,45,False,False,True,297.0,0.34,0.33,trail,6.0,True,38.2,2.0,-1.0
2026-07-15_META_C_1030,2026-07-15,META,C,prime,80,,,,675.0,9.75,9.05,trail,15.0,True,13.3,2.0,-70.0
2026-07-15_MSFT_C_1030,2026-07-15,MSFT,C,prime,60,,,,400.0,3.4,3.35,trail,16.0,True,23.5,1.0,-5.0
2026-07-15_QQQ_C_1030,2026-07-15,QQQ,C,scout,45,True,False,True,719.0,1.53,0.72,timestop,16.0,False,-1.3,,-81.0
2026-07-15_IWM_C_1045,2026-07-15,IWM,C,scout,45,False,False,True,297.0,0.3,0.36,trail,16.0,True,60.0,10.0,6.0
2026-07-15_META_C_1115,2026-07-15,META,C,prime,65,,,,685.0,10.65,8.2,timestop,15.4,False,-5.6,,-245.0
2026-07-15_QQQ_P_1130,2026-07-15,QQQ,P,scout,45,False,False,True,716.0,1.81,1.59,trail,6.0,True,11.0,1.0,-22.0
2026-07-15_QQQ_P_1145,2026-07-15,QQQ,P,scout,45,False,False,True,715.0,1.58,1.63,trail,13.0,True,22.2,2.0,5.0
2026-07-15_QQQ_P_1200,2026-07-15,QQQ,P,scout,45,False,False,True,714.0,1.24,2.05,trail,9.0,True,104.8,1.0,81.0
2026-07-15_QQQ_P_1215,2026-07-15,QQQ,P,scout,45,False,False,True,712.0,1.61,1.73,trail,14.0,True,28.0,1.0,12.0
2026-07-15_QQQ_P_1230,2026-07-15,QQQ,P,scout,55,False,False,True,711.0,1.13,1.55,trail,13.0,True,66.4,1.0,42.0
